trial_number,value,adx_threshold,irg_threshold,min_momentum_pct,momentum_days,volume_factor,sl_mult,tp_mult,allow_partial_signals,require_macd,require_ma50,require_rsi_gt,sharpe_mean,max_drawdown_mean,trades,total_return_mean,params
0,-1.1245647621607804,19,1.55,0.024,7,1.1,1.3,1.7,0,0,0,18,-1.6220154690233874,0.09521617001456681,667,0.02275140764076248,"{'adx_threshold': 19.0, 'irg_threshold': 1.55, 'min_momentum_pct': 0.024, 'momentum_days': 7, 'volume_factor': 1.1, 'sl_mult': 1.3, 'tp_mult': 1.7, 'allow_partial_signals': 0.0, 'require_macd': 0.0, 'require_ma50': 0.0, 'require_rsi_gt': 18.0}"
1,0.14122254056245895,15,0.5,0.012,7,1.25,1.6,4.300000000000001,1,1,0,31,-0.028469449166896855,0.30910496731399134,7889,0.13876686357196616,"{'adx_threshold': 15.0, 'irg_threshold': 0.5, 'min_momentum_pct': 0.012, 'momentum_days': 7, 'volume_factor': 1.25, 'sl_mult': 1.6, 'tp_mult': 4.300000000000001, 'allow_partial_signals': 1.0, 'require_macd': 1.0, 'require_ma50': 0.0, 'require_rsi_gt': 31.0}"
2,-2.945869091541541,23,0.35,0.02,4,1.0,2.9000000000000004,5.9,0,1,0,30,-3.869993018420995,0.07836487182471544,453,0.011070094407108927,"{'adx_threshold': 23.0, 'irg_threshold': 0.35, 'min_momentum_pct': 0.02, 'momentum_days': 4, 'volume_factor': 1.0, 'sl_mult': 2.9000000000000004, 'tp_mult': 5.9, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 0.0, 'require_rsi_gt': 30.0}"
3,0.16837576176849228,12,1.5000000000000002,0.011,8,1.2,2.0,4.0,1,1,0,47,0.017602431999457907,0.27620496705411557,5460,0.1246696639924298,"{'adx_threshold': 12.0, 'irg_threshold': 1.5000000000000002, 'min_momentum_pct': 0.011, 'momentum_days': 8, 'volume_factor': 1.2, 'sl_mult': 2.0, 'tp_mult': 4.0, 'allow_partial_signals': 1.0, 'require_macd': 1.0, 'require_ma50': 0.0, 'require_rsi_gt': 47.0}"
4,-2.171295401202581,13,0.55,0.006,5,1.25,1.5,5.300000000000001,0,0,0,50,-2.895792205993038,0.1170234876993948,693,0.015003753824548174,"{'adx_threshold': 13.0, 'irg_threshold': 0.55, 'min_momentum_pct': 0.006, 'momentum_days': 5, 'volume_factor': 1.25, 'sl_mult': 1.5, 'tp_mult': 5.300000000000001, 'allow_partial_signals': 0.0, 'require_macd': 0.0, 'require_ma50': 0.0, 'require_rsi_gt': 50.0}"
5,0.26770555223689524,26,0.55,0.005,9,1.45,2.5,5.0,1,1,0,12,0.09332856487915032,0.26839846695534697,6754,0.13148582551291021,"{'adx_threshold': 26.0, 'irg_threshold': 0.55, 'min_momentum_pct': 0.005, 'momentum_days': 9, 'volume_factor': 1.45, 'sl_mult': 2.5, 'tp_mult': 5.0, 'allow_partial_signals': 1.0, 'require_macd': 1.0, 'require_ma50': 0.0, 'require_rsi_gt': 12.0}"
6,0.36175607753934935,17,0.7,0.023000000000000003,8,1.55,1.9,2.0,1,1,1,27,0.1939718350686574,0.25008480699279917,4778,0.15171026233732504,"{'adx_threshold': 17.0, 'irg_threshold': 0.7, 'min_momentum_pct': 0.023000000000000003, 'momentum_days': 8, 'volume_factor': 1.55, 'sl_mult': 1.9, 'tp_mult': 2.0, 'allow_partial_signals': 1.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 27.0}"
7,0.43506031825218217,12,0.4,0.005,8,1.2,2.0,5.6000000000000005,1,0,1,16,0.1931670779233334,0.3138955280160101,10207,0.2403376315030075,"{'adx_threshold': 12.0, 'irg_threshold': 0.4, 'min_momentum_pct': 0.005, 'momentum_days': 8, 'volume_factor': 1.2, 'sl_mult': 2.0, 'tp_mult': 5.6000000000000005, 'allow_partial_signals': 1.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 16.0}"
8,-0.08463507051788932,29,1.35,0.021,9,1.5,1.3,5.6000000000000005,1,0,1,27,-0.28315116905042126,0.25140328412149027,5836,0.06636862936793254,"{'adx_threshold': 29.0, 'irg_threshold': 1.35, 'min_momentum_pct': 0.021, 'momentum_days': 9, 'volume_factor': 1.5, 'sl_mult': 1.3, 'tp_mult': 5.6000000000000005, 'allow_partial_signals': 1.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 27.0}"
9,0.34787613478481727,27,1.4500000000000002,0.005,7,1.25,1.4,2.0,1,1,0,49,0.22168488872129238,0.24334193811280713,5642,0.09626768775736945,"{'adx_threshold': 27.0, 'irg_threshold': 1.4500000000000002, 'min_momentum_pct': 0.005, 'momentum_days': 7, 'volume_factor': 1.25, 'sl_mult': 1.4, 'tp_mult': 2.0, 'allow_partial_signals': 1.0, 'require_macd': 1.0, 'require_ma50': 0.0, 'require_rsi_gt': 49.0}"
10,-0.23415659768849809,21,1.05,0.03,10,1.4,2.4000000000000004,3.0,0,0,1,11,-0.5314917932443767,0.05512166776372809,346,0.01471565059752372,"{'adx_threshold': 21.0, 'irg_threshold': 1.05, 'min_momentum_pct': 0.03, 'momentum_days': 10, 'volume_factor': 1.4, 'sl_mult': 2.4000000000000004, 'tp_mult': 3.0, 'allow_partial_signals': 0.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 11.0}"
11,0.22945374521807213,17,0.8500000000000001,0.026000000000000002,5,1.6,2.0,2.8,1,0,1,23,0.024088206496232323,0.2983792819762659,7734,0.16689753845683603,"{'adx_threshold': 17.0, 'irg_threshold': 0.8500000000000001, 'min_momentum_pct': 0.026000000000000002, 'momentum_days': 5, 'volume_factor': 1.6, 'sl_mult': 2.0, 'tp_mult': 2.8, 'allow_partial_signals': 1.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 23.0}"
12,0.2906269580332604,16,0.8,0.014000000000000002,9,1.35,2.3,3.1,1,1,1,36,0.10366453460192872,0.24669181594592784,4763,0.15938378094462605,"{'adx_threshold': 16.0, 'irg_threshold': 0.8, 'min_momentum_pct': 0.014000000000000002, 'momentum_days': 9, 'volume_factor': 1.35, 'sl_mult': 2.3, 'tp_mult': 3.1, 'allow_partial_signals': 1.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 36.0}"
13,0.2925308874207986,14,0.7,0.016,6,1.6,1.7000000000000002,4.800000000000001,1,0,1,19,0.015189705654509379,0.2993710362597729,8431,0.23804048595186061,"{'adx_threshold': 14.0, 'irg_threshold': 0.7, 'min_momentum_pct': 0.016, 'momentum_days': 6, 'volume_factor': 1.6, 'sl_mult': 1.7000000000000002, 'tp_mult': 4.800000000000001, 'allow_partial_signals': 1.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 19.0}"
14,0.4740962760943669,18,0.3,0.02,8,1.15,1.8,2.3,1,1,1,38,0.2936216693111287,0.2622644123847368,5747,0.18779048838635584,"{'adx_threshold': 18.0, 'irg_threshold': 0.3, 'min_momentum_pct': 0.02, 'momentum_days': 8, 'volume_factor': 1.15, 'sl_mult': 1.8, 'tp_mult': 2.3, 'allow_partial_signals': 1.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 38.0}"
15,0.3092457427133499,21,0.3,0.009000000000000001,3,1.1,1.0,3.4000000000000004,1,0,1,40,0.10870216331315731,0.29219014426358286,8224,0.18009393102614205,"{'adx_threshold': 21.0, 'irg_threshold': 0.3, 'min_momentum_pct': 0.009000000000000001, 'momentum_days': 3, 'volume_factor': 1.1, 'sl_mult': 1.0, 'tp_mult': 3.4000000000000004, 'allow_partial_signals': 1.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 40.0}"
16,0.32491497292669574,19,1.1,0.018000000000000002,10,1.15,2.2,2.5,1,0,1,41,0.10501696442430485,0.2793819831904215,7014,0.18814531600915366,"{'adx_threshold': 19.0, 'irg_threshold': 1.1, 'min_momentum_pct': 0.018000000000000002, 'momentum_days': 10, 'volume_factor': 1.15, 'sl_mult': 2.2, 'tp_mult': 2.5, 'allow_partial_signals': 1.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 41.0}"
17,0.3607770953125228,24,0.4,0.016,8,1.0,2.7,4.5,1,1,1,35,0.17806936911835053,0.25321936960801866,5479,0.1576696685758225,"{'adx_threshold': 24.0, 'irg_threshold': 0.4, 'min_momentum_pct': 0.016, 'momentum_days': 8, 'volume_factor': 1.0, 'sl_mult': 2.7, 'tp_mult': 4.5, 'allow_partial_signals': 1.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 35.0}"
18,-0.3669104720979097,12,0.45,0.029,6,1.1,1.8,3.6,0,1,1,42,-0.6606223787697578,0.12809936147155684,764,0.02280925422186062,"{'adx_threshold': 12.0, 'irg_threshold': 0.45, 'min_momentum_pct': 0.029, 'momentum_days': 6, 'volume_factor': 1.1, 'sl_mult': 1.8, 'tp_mult': 3.6, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 42.0}"
19,0.44443254957097134,19,1.25,0.009000000000000001,8,1.35,2.2,2.4,1,0,1,17,0.1890971990267666,0.2907910202387239,8409,0.2424588680369685,"{'adx_threshold': 19.0, 'irg_threshold': 1.25, 'min_momentum_pct': 0.009000000000000001, 'momentum_days': 8, 'volume_factor': 1.35, 'sl_mult': 2.2, 'tp_mult': 2.4, 'allow_partial_signals': 1.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 17.0}"
20,0.20754033752836157,19,1.25,0.009000000000000001,9,1.35,2.6,2.5,1,1,1,22,0.065837445932123,0.25526783235852535,4700,0.10999268769524335,"{'adx_threshold': 19.0, 'irg_threshold': 1.25, 'min_momentum_pct': 0.009000000000000001, 'momentum_days': 9, 'volume_factor': 1.35, 'sl_mult': 2.6, 'tp_mult': 2.5, 'allow_partial_signals': 1.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 22.0}"
21,0.43471647428225624,23,1.2,0.008,8,1.3,2.1,1.5,1,0,1,15,0.2918271029088453,0.2840481796727323,8373,0.13680698826561472,"{'adx_threshold': 23.0, 'irg_threshold': 1.2, 'min_momentum_pct': 0.008, 'momentum_days': 8, 'volume_factor': 1.3, 'sl_mult': 2.1, 'tp_mult': 1.5, 'allow_partial_signals': 1.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 15.0}"
22,0.5546578584495869,18,0.95,0.013000000000000001,8,1.15,2.2,2.3,1,0,1,15,0.2824744055260238,0.29983927195045573,9329,0.2784851634210814,"{'adx_threshold': 18.0, 'irg_threshold': 0.95, 'min_momentum_pct': 0.013000000000000001, 'momentum_days': 8, 'volume_factor': 1.15, 'sl_mult': 2.2, 'tp_mult': 2.3, 'allow_partial_signals': 1.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 15.0}"
23,0.42554025374159093,18,1.0,0.013000000000000001,7,1.05,2.3,2.3,1,0,1,10,0.1672169224802165,0.31473428523198593,9963,0.25276408757615026,"{'adx_threshold': 18.0, 'irg_threshold': 1.0, 'min_momentum_pct': 0.013000000000000001, 'momentum_days': 7, 'volume_factor': 1.05, 'sl_mult': 2.3, 'tp_mult': 2.3, 'allow_partial_signals': 1.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 10.0}"
24,0.5622921187194285,20,0.9000000000000001,0.015,6,1.15,3.0,2.1,1,0,1,23,0.27459548300240255,0.2925460229113031,8885,0.2879189292992918,"{'adx_threshold': 20.0, 'irg_threshold': 0.9000000000000001, 'min_momentum_pct': 0.015, 'momentum_days': 6, 'volume_factor': 1.15, 'sl_mult': 3.0, 'tp_mult': 2.1, 'allow_partial_signals': 1.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 23.0}"
25,0.4396901710335398,22,0.9000000000000001,0.018000000000000002,6,1.15,2.9000000000000004,2.0,1,0,1,22,0.2544739271177239,0.28671555049545194,8442,0.1773676456026879,"{'adx_threshold': 22.0, 'irg_threshold': 0.9000000000000001, 'min_momentum_pct': 0.018000000000000002, 'momentum_days': 6, 'volume_factor': 1.15, 'sl_mult': 2.9000000000000004, 'tp_mult': 2.0, 'allow_partial_signals': 1.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 22.0}"
26,-2.735540167718241,20,0.7,0.015,5,1.15,3.0,3.3,0,0,1,26,-3.6288617445729456,0.08607511071017639,541,0.009492762238218414,"{'adx_threshold': 20.0, 'irg_threshold': 0.7, 'min_momentum_pct': 0.015, 'momentum_days': 5, 'volume_factor': 1.15, 'sl_mult': 3.0, 'tp_mult': 3.3, 'allow_partial_signals': 0.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 26.0}"
27,0.5225886506232353,16,0.95,0.02,6,1.05,2.7,2.8,1,0,1,34,0.2204452763662976,0.2988004409427418,9137,0.29913453956058383,"{'adx_threshold': 16.0, 'irg_threshold': 0.95, 'min_momentum_pct': 0.02, 'momentum_days': 6, 'volume_factor': 1.05, 'sl_mult': 2.7, 'tp_mult': 2.8, 'allow_partial_signals': 1.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 34.0}"
28,0.614010914784865,15,0.95,0.017,6,1.05,2.8,2.7,1,0,1,33,0.3032779947395936,0.30282730872056707,9666,0.32451511006077266,"{'adx_threshold': 15.0, 'irg_threshold': 0.95, 'min_momentum_pct': 0.017, 'momentum_days': 6, 'volume_factor': 1.05, 'sl_mult': 2.8, 'tp_mult': 2.7, 'allow_partial_signals': 1.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 33.0}"
29,2.1394827222243893,14,1.1500000000000001,0.011,4,1.0,2.8,1.7,0,0,1,20,2.4365733775009484,0.1388346467175427,1025,0.04714804920006161,"{'adx_threshold': 14.0, 'irg_threshold': 1.1500000000000001, 'min_momentum_pct': 0.011, 'momentum_days': 4, 'volume_factor': 1.0, 'sl_mult': 2.8, 'tp_mult': 1.7, 'allow_partial_signals': 0.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 20.0}"
30,0.04461011358388084,14,1.1500000000000001,0.011,3,1.05,2.8,1.7,0,0,1,20,-0.1904123583833227,0.13113030276744472,959,0.049832694004140234,"{'adx_threshold': 14.0, 'irg_threshold': 1.1500000000000001, 'min_momentum_pct': 0.011, 'momentum_days': 3, 'volume_factor': 1.05, 'sl_mult': 2.8, 'tp_mult': 1.7, 'allow_partial_signals': 0.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 20.0}"
31,2.1545160316671996,15,1.0,0.014000000000000002,4,1.0,3.0,1.7,0,0,1,13,2.449993597714106,0.1333968693622528,977,0.04849799738676407,"{'adx_threshold': 15.0, 'irg_threshold': 1.0, 'min_momentum_pct': 0.014000000000000002, 'momentum_days': 4, 'volume_factor': 1.0, 'sl_mult': 3.0, 'tp_mult': 1.7, 'allow_partial_signals': 0.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 13.0}"
32,2.4495329410635023,15,0.8,0.017,4,1.0,3.0,1.5,0,0,1,14,2.8110126742902763,0.13259569778521513,990,0.04231787041998678,"{'adx_threshold': 15.0, 'irg_threshold': 0.8, 'min_momentum_pct': 0.017, 'momentum_days': 4, 'volume_factor': 1.0, 'sl_mult': 3.0, 'tp_mult': 1.5, 'allow_partial_signals': 0.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 14.0}"
33,2.238635785007773,15,0.8,0.017,4,1.0,2.8,1.6,0,0,1,13,2.5428404799308932,0.13226073934846957,969,0.05073141425723893,"{'adx_threshold': 15.0, 'irg_threshold': 0.8, 'min_momentum_pct': 0.017, 'momentum_days': 4, 'volume_factor': 1.0, 'sl_mult': 2.8, 'tp_mult': 1.6, 'allow_partial_signals': 0.0, 'require_macd': 0.0, 'require_ma50': 1.0, 'require_rsi_gt': 13.0}"
